examiner,text
Examiner 01,"cyclonic separator for separating particles from an airflow and vacuum cleaner including such a separator. a cyclonic separator for separating particles and/or liquids from an airflow using means for causing the air to follow a cyclonic flow pattern through the separating chamber (12; 112; 212) and around an axis (17; 117) for causing cyclonic separation of a least a portion of the particles and/or liquids from the airflow within the separating chamber (12; 112; 212). an interior surface portion of a drum (18; 118; 218) bounding the separating chamber (12; 112; 212) and extending circumferentially around the axis (17; 117) is rotatable about the axis (17; 117) so that separation of particles and/or liquid from the airflow is improved. a vacuum cleaner including such a separator is also described.."
Examiner 01,"air filtration device. an air filtration device for intake of atmospheric air, removal of contaminants from the atmospheric air, expulsion of filtered air, includes a housing configured for application directly to an electrical outlet and provides air intake from the front surface of the housing and air expulsion from the side of the housing to utilize a wall surface to disperse the filtered air. an indicator is provided to communicate that a filter should be changed, and a filter orientation system is provided to allow proper orientation of the filter with respect to air flow.."
Examiner 01,"carbon dioxide enhanced complex-adsorption process for metal or metalloid removal from water. a method of removing metal or metalloids, arsenic in particular, from groundwater or another source of contaminated water. the method comprises providing a water source, contacting the water source with co2, whereby the ph of the water source is lowered to produce pretreated water, contacting the pretreated water with a metal or metalloid complex-adsorbing substance whereby contaminants are separated from the remainder of the pretreated water to produce metal or metalloid-depleted water, and stripping the co2 from the metal or metalloid-depleted water, whereby the ph of metal or metalloid-depleted water is increased. a system for metal removal utilizing the co2 process is also provided.."
Examiner 01,"device for the separation of liquid and/or solid pollutants entrained by gaseous streams. a device for the separation of liquid and/or solid pollutants entrained by gaseous streams, comprising a separating element (11), contained inside a protective casing (12) which comprises a gas inlet and outlet (13, 14), wherein the separating element (11) includes a coil (17). the coil (17) is situated between an outlet disk (18), having an outlet hole (20), and an unloading disk (19), wherein the unloading disk (19) has a series of discharge channels (21), relating to the external loops of the coil (17), and discharge channels (21?), relating to the internal loops of the coil (17), so that the geometrical parameters of the coil (17) and the distribution of the discharge channels (21, 21?) allow liquid and/or solid micro-particles to be eliminated from a stream of gas.."
Examiner 01,"drift eliminator, light trap, and method of forming same. a drift eliminator is provided in which water laden air which enters the drift eliminator exits the drift eliminator having less than about 0.01% of water by volume therein. the drift eliminator is formed of sheets which are manufactured such that they can be nested in each other to create substantially no gap between sheets of adjacent air channel modules. as a result, a plurality of air channel modules can be combined, by nesting, to create a larger drift eliminator, without sacrificing the precision to which entrained water may be removed from air passing through the drift eliminator. in an alternate embodiment, a light trap is also provided which enables air, but substantially no light, to pass through air channels formed therein.."
Examiner 01,"olfactory display. [structure] an olfactory display 10 includes a housing 12 having an emitting port 22, and presents a fragrance within a range bounded in terms of time and space. within the housing 12, a fragrance chamber 14 having an air inlet 26 and a fragrance outlet 24 which is communicated with the emitting port 22 is formed, and in the fragrance chamber 14, a solid-like fragrance source 20 is accommodated. furthermore, in the fragrance chamber 14, there is provided with a airflow source 16 comprising a diaphragm 34 having a piezoelectric device 32. in presenting a fragrance, an air is sent into the fragrance chamber 14 from the air inlet 26 by the airflow source 16, and accordingly, the air within the fragrance chamber 14, which including a gas-like fragrance component volatilized from the fragrance source 20 is emitted from the emitting port 22 passing through the fragrance outlet 24.."
Examiner 01,"low dispersion scent sampler for point of sale display. a low dispersion scent sampler for point of sale display has a housing with a front panel to which a label advertising products sold at the point of sale may be affixed. inside of the housing is a blower connected to a timer control circuit and battery through a pushbutton actuated switch. a scented material is provided in the air flow path from the blower to one or more exhaust ports. when the pushbutton is pressed by a consumer, the blower turns on for a brief period of time to force air over the scented material and then through the exhaust ports for sampling of the scent emitted by the scented material. the on time for the blower is brief to limit exposure to the scent to the space occupied by the consumer.."
Examiner 01,"system and method for processing high purity materials. systems and methods for processing high purity materials are disclosed. a unit operation processes a material stream, an operational parameter of the unit operation is monitored, and a standby unit is charged with pressurized gas to achieve system pressure. the material stream is diverted to the standby unit in response to the operational parameter of the unit operation registering a threshold value. flow exiting the standby unit is first vented via an outlet, and then directed toward a point of use after the pressurized gas has been purged. the unit operation may then be serviced and subsequently brought back online. a second unit operation may process a second material stream simultaneously, and the second material stream may be periodically diverted to the standby unit in like manner, thus reducing line pressure variation. the disclosed method may be performed manually or implemented automatically through use of a controller.."
Examiner 01,"filter units, filtration methods, and filtration systems. a filter unit, system and method for removing grease, oil and other particulates from air. the filter unit includes a housing having upstream and downstream walls and a cavity therebetween. the upstream wall has an entrance opening aligned with a downstream wall portion, and the downstream wall has first and second exit openings aligned with first and second upstream wall portions. a heat exchanger is disposed within the cavity and includes first and second upstream conduits within the entrance opening and first and second downstream conduits within the first and second exit opening. the entrance and exit openings are arranged to define s-shaped air flow paths through the housing between the entrance and exit openings, each of which flows around a downstream side of one of the upstream conduits then around an upstream side of one of the downstream conduits before exiting through one of the exit openings.."
Examiner 01,"bag-filter type small deodorizing and dust collecting apparatus. the bag-filter type small deodorizing and dust collecting apparatus including a feed pipe feeding deodorizing powder, a rotary valve discharging the deodorizing powder by a fixed amount, and a reflux pipe for refluxing the deodorizing powder from the rotary valve a blower is provided for refluxing the deodorizing powder. furthermore a switchover gate is mounted on a discharge side of the rotary valve. branch pipes are connected to the switchover gate, such that one branch pipe is connected to a discharging chamber and the other branch pipe is connected to the reflux pipe. dust is collected while enabling deodorization, or in particular, enabling local deodorization of a foundry or the like, mainly, without a need for a large-scaled apparatus for circulation, supply and discharge of the activated carbon or the like used therein.."
